COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
89071,PINUS PINASTER SEED OIL,,, 999999-99-4,"Pinus Pinaster Seed Oil is the volatile obtained by cold pression of seeds of Pinus pinaster, Pinaceae.",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING",04/06/2012
55929,DIMETHYLTOLYLAMINE,,, 99-97-8,"N,N-Dimethyl-p-Tolylamine; N,N-dimethyl-p-toluidine; Dimethyl-4-toluidine; N,N-Dimethyl-4-methylaniline",,NAIL CONDITIONING,25/10/2016
31527,4-HYDROXYBENZOIC ACID,,, 99-96-7,4-hydroxybenzoic acid,V/12,PRESERVATIVE,16/10/2010
95617,2-HYDROXYPROPYL ACRYLATE,,, 999-61-1; 25584-83-2,"2-Propenoic acid, 2-hydroxypropyl ester,2-Propenoic acid, monoester with 1,2-propanediol",,FILM FORMING,15/01/2018
40880,NERYL BUTYRATE,,, 999-40-6,"cis-3,7-Dimethyl-2,6-octadienyl butanoate",,PERFUMING,02/03/2011
90948,HYDROXYACETOPHENONE,,, 99-93-4,"Ethanone, 1-(4-hydroxyphenyl)-,p-Hydroxyacetophenone",,ANTIOXIDANT,14/10/2013
76576,HYDROLYZED RETICULIN,,, 99924-37-5,"Protein hydrolyzates, reticulin. Substance obtained by hydrolysis of reticulin, composed primarily of proteins, peptides and amino acids",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
39737,P-ISOPROPYLPHENOL,,, 99-89-8,p-Isopropylphenol,,PERFUMING,02/03/2011
33833,ETHYL METHOXYCINNAMATE,,, 99880-64-5,Ethyl p-methoxycinnamate,,UV ABSORBER,15/10/2010
77193,P-CYMENE,,, 99-87-6,1-Methyl-4-(1-methylethyl)benzene,,MASKING,15/10/2010
41318,ALPHA-TERPINENE,,, 99-86-5,"p-Mentha-1,3-diene; 1-Methyl-4-isopropyl-1,3-cyclohexadiene; 1-Methyl-4-(1-methylethyl)-1,3-cyclohexadiene",III/131,PERFUMING,15/10/2010
41435,GAMMA-TERPINENE,,, 99-85-4,"p-Mentha-1,4-diene; 1-Methyl-4-isopropyl-1,4-cyclohexadiene; 1-Methyl-4-(1-methylethyl)-1,4-cyclohexadiene",III/132,PERFUMING,15/10/2010
40594,ALPHA-PHELLANDRENE,,, 99-83-2,"p-Mentha-1,5-diene",,PERFUMING,02/03/2011
39760,JUNIPERUS MEXICANA WOOD EXTRACT EPOXIDIZED,,, 99811-75-3,"Juniperus Mexicana Wood Extract Epoxidized is the epoxidized extract obtained from the wood of the Juniper, Juniperus mexicana, Cupressaceae. Syn Cedarwood Texas",,PERFUMING,02/03/2011
34190,HC BLUE NO. 14,,, 99788-75-7,"9,10-Anthracenedione, 1,4-Bis[2,3,-Dihydroxypropylamino]-",Annex III/264,HAIR DYEING,06/06/2019
35342,METHYLPARABEN,methylparaben,methylis parahydroxybenzoas, 99-76-3,Methyl 4-hydroxybenzoate,V/12,PRESERVATIVE,16/10/2010
92047,ACETYL ASPARTIC ACID,,, 997-55-7,"N-Acetyl- L-Aspartic Acid,(2S)-2-Acetamidobutanedioic acid",,SKIN CONDITIONING,23/09/2014
40812,METHYL P-TOLUATE,,, 99-75-2,Methyl 4-methyl-benzoate,,PERFUMING,02/03/2011
78995,POLYGLYCERYL-6 PALMITATE,,, 99734-31-3,"1,2,3-Propanetriol, homopolymer, hexadecanoate",,"EMOLLIENT, EMULSIFYING",15/10/2010
78998,POLYGLYCERYL-6 PENTASTEARATE,,, 99734-30-2,"1,2,3-Propanetriol, homopolymer, octadecanoates (1:5) (6 mol glycerol average molar ratio)",,EMULSIFYING,15/10/2010
78918,POLYGLYCERYL-4 TRISTEARATE,,, 99734-29-9,triester of tetraglycerol and stearic acid,,"EMOLLIENT, EMULSIFYING",15/10/2010
40696,METHYL HYDRATROPALDEHYDE,,, 99-72-9,2-(p-Tolyl)propionaldehyde,,PERFUMING,02/03/2011
95645,ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,,, 99728-55-9,"Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters.",,PLASTICISER,14/02/2018
55840,DIETHYL CAPRYLAMIDE,,, 996-97-4,"N,N-Diethyloctanamide",III/60,"MASKING, PERFUMING",15/10/2010
56300,FULLERENES,,, 99685-96-8,Fullerenes is a class of carbon molecules characterized by an icosohedron structure (Fullerene C60),,"ANTIMICROBIAL, SKIN CONDITIONING",15/10/2010
94126,VALPROIC ACID,,, 99-66-1,2-Propylpentanoic Acid,,SKIN CONDITIONING,23/06/2016
79615,POTASSIUM LACTATE,,, 996-31-6 / 85895-78-9,Potassium lactate,,"BUFFERING, HUMECTANT, SKIN CONDITIONING",15/10/2010
31498,2-HYDROXYETHYL PICRAMIC ACID,,, 99610-72-7,"1-hydroxy-2-.beta.-hydroxyethylamino-4,6-dinitrobenzene",III/222,HAIR DYEING,16/11/2016
78916,POLYGLYCERYL-4 PENTASTEARATE,,, 99570-00-0,pentaester of tetraglycerol and stearic acid,,"EMOLLIENT, EMULSIFYING",15/10/2010
31532,4-NITRO-O-PHENYLENEDIAMINE,,, 99-56-9,4-nitro-o-phenylenediamine (CI 76020),Annex III/240,HAIR DYEING,06/06/2019
80567,TALLOW ALCOHOL,,, 99561-04-3,"Alcohols, tallow",,"EMOLLIENT, EMULSIFYING, EMULSION STABILISING, REFATTING, VISCOSITY CONTROLLING",15/10/2010
35026,LINOLEAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,, 99542-23-1,"1-Propanaminium, N-ethyl-N,N-dimethyl-3-[1-oxo-9,12-octadecadienylamino]-, ethyl sulfate (salt)",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
54201,"3,4-DIHYDROXYBENZOIC ACID",,, 99-50-3,"3,4-Dihydroxybenzoic acid",,SKIN PROTECTING,15/10/2010
39286,CARVEOL,,, 99-48-9,"p-Mentha-1(6),8-dien-2-ol",,PERFUMING,02/03/2011
54584,AMINOPROPYL DIMETHICONE,,, 99363-37-8,"Silicones and siloxanes, dimethyl, 3-aminopropyl methyl, trimethylsilyl terminated",,HAIR CONDITIONING,15/10/2010
54703,BISMUTH SUBGALLATE,,, 99-26-3,"Bismuth, Dihydroxy(3,4,5,-Trihydroxybenzoato-O')-",,SKIN CONDITIONING,15/10/2010
80292,TREHALOSE,,, 99-20-7,"alpha-D-Glucopyranoside, alpha-D-glucopyranosyl",,"HUMECTANT, MOISTURISING",15/10/2010
