ref_no,inci_name,inci_genus,inci_species,desc_genus,desc_species,pattern,resolution,resolved_to,resolution_note
32382,CANDELILLA CERA,,,Euphorbia,cerifera,inci_not_binomial,auto,Euphorbia cerifera,INCI is a trivial or trade name; binomial taken from the description
32489,CENTAURIUM ERYTHRAEA EXTRACT,Centaurium,erythraea,Erythraea,centaurium,genus_mismatch,,,
33012,COLOPHONIUM,,,Pinus,palustris,inci_not_binomial,auto,Pinus palustris,INCI is a trivial or trade name; binomial taken from the description
33024,COPAL,,,Hymenaea,courbaril,inci_not_binomial,auto,Hymenaea courbaril,INCI is a trivial or trade name; binomial taken from the description
34178,GUTTA PERCHA,Gutta,percha,Payena,and,genus_mismatch,,,
39021,ALOE SPECIES RESIN,,,Aloe,spp,genus_level_entry,auto,Aloe spp,"INCI names a genus rather than a species; genus kept, species left generic"
39318,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,Cinnamomum,camphora,Cinnamomum,tzumu,species_mismatch,,,
39346,CISTUS SPECIES RESIN,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39347,CISTUS SPECIES RESIN EXTRACT,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39348,CISTUS SPECIES RESIN OIL,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39380,COPAIFERA RETICULATA BALSAM OIL ACETYLATED,Copaifera,reticulata,Copaifera,officinalis,species_mismatch,,,
39383,COPAIFERA SPECIES RESIN EXTRACTS,,,Copaifera,spp,genus_level_entry,auto,Copaifera spp,"INCI names a genus rather than a species; genus kept, species left generic"
39384,COPAIFERA SPECIES RESIN OILS,,,Copaifera,spp,genus_level_entry,auto,Copaifera spp,"INCI names a genus rather than a species; genus kept, species left generic"
39758,JUNIPERUS EXTRACT ACETYLATED,,,Juniperus,spp,genus_level_entry,auto,Juniperus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39790,LAVANDULA LATIFOLIA HERB EXTRACT,Lavandula,latifolia,Lavandula,spica,species_mismatch,,,
39791,LAVANDULA LATIFOLIA HERB OIL,Lavandula,latifolia,Lavandula,spica,species_mismatch,,,
39960,EUCALYPTUS SPECIES LEAF EXTRACT,,,Eucalyptus,spp,genus_level_entry,auto,Eucalyptus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39961,EUCALYPTUS SPECIES LEAF OIL,,,Eucalyptus,spp,genus_level_entry,auto,Eucalyptus spp,"INCI names a genus rather than a species; genus kept, species left generic"
40097,GRASS-HAY HERB EXTRACT,,,Hay,herb,inci_not_binomial,auto,Hay herb,INCI is a trivial or trade name; binomial taken from the description
40098,GRASS-HAY HERB OIL,,,Hay,herb,inci_not_binomial,auto,Hay herb,INCI is a trivial or trade name; binomial taken from the description
40371,LAVANDULA SPICA HERB EXTRACT,Lavandula,spica,Lavandula,latifolia,species_mismatch,,,
40372,LAVANDULA SPICA HERB OIL,Lavandula,spica,Lavandula,latifolia,species_mismatch,,,
40393,MENTHA SPICATA HERB EXTRACT,Mentha,spicata,Mentha,viridis,species_mismatch,,,
40394,MENTHA SPICATA HERB OIL,Mentha,spicata,Mentha,viridis,species_mismatch,,,
40584,PERILLA FRUTESCENS FLOWER EXTRACT,Perilla,frutescens,Perilla,ocymoides,species_mismatch,,,
40585,PERILLA FRUTESCENS FLOWER OIL,Perilla,frutescens,Perilla,ocymoides,species_mismatch,,,
40587,PERILLA FRUTESCENS LEAF OIL,Perilla,frutescens,Perilla,ocymoides,species_mismatch,,,
40926,POGOSTEMON CABLIN LEAF EXTRACT,Pogostemon,cablin,Pogostemon,patchouli,species_mismatch,,,
41417,CITRUS SINENSIS PEEL EXTRACT,Citrus,sinensis,Citrus,aurantium,species_mismatch,,,
41418,CITRUS SINENSIS PEEL OIL EXPRESSED,Citrus,sinensis,Citrus,aurantium,species_mismatch,,,
41421,CITRUS SPECIES LEAF EXTRACT,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41422,CITRUS SPECIES LEAF OIL,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41423,CITRUS SPECIES PEEL EXTRACT,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41424,CITRUS SPECIES PEEL OIL EXPRESSED,,,Citrus,spp,genus_level_entry,auto,Citrus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41485,PINUS SPECIES TWIG LEAF EXTRACT,,,Pinus,spp,genus_level_entry,auto,Pinus spp,"INCI names a genus rather than a species; genus kept, species left generic"
41486,PINUS SPECIES TWIG LEAF OIL,,,Pinus,spp,genus_level_entry,auto,Pinus spp,"INCI names a genus rather than a species; genus kept, species left generic"
54290,ALGAE EXTRACT,,,Fucus,vesiculosus,inci_not_binomial,auto,Fucus vesiculosus,INCI is a trivial or trade name; binomial taken from the description
54474,ANGELICA POLYMORPHA SINENSIS ROOT EXTRACT,Angelica,polymorpha,Angelica,sinensis,inci_truncated,auto,Angelica sinensis,INCI truncates an infraspecific name; description form is more complete
54482,ANONA MURICATA FRUIT EXTRACT,Annona,muricata,Anona,muricata,spelling_variant,auto,Annona muricata,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
54488,ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT,Arctostaphylos,uva,Arctostaphylos,uva-ursi,hyphen_split,auto,Arctostaphylos uva-ursi,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
54489,ARCTOSTAPHYLOS UVA URSI LEAF POWDER,Arctostaphylos,uva,Arctostaphylos,uva-ursi,hyphen_split,auto,Arctostaphylos uva-ursi,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
55084,CARNAUBA ACID WAX,,,Copernicia,cerifera,inci_not_binomial,auto,Copernicia cerifera,INCI is a trivial or trade name; binomial taken from the description
56254,FERULA ASSA FOETIDA ROOT EXTRACT,Ferula,assa,Ferula,assa-foetida,hyphen_split,auto,Ferula assa-foetida,INCI splits a hyphenated epithet across two tokens; hyphenated form kept
56258,FICIN,,,Ficus,carica,inci_not_binomial,auto,Ficus carica,INCI is a trivial or trade name; binomial taken from the description
56399,HORSERADISH PEROXIDASE,,,Cochlearia,armoracia,inci_not_binomial,auto,Cochlearia armoracia,INCI is a trivial or trade name; binomial taken from the description
56477,GOSSYPIUM HERBACEUM SEED OIL,Gossypium,herbaceum,Gossypium,spp,genus_level_entry,auto,Gossypium spp,"INCI names a genus rather than a species; genus kept, species left generic"
56547,HYDROLYZED CICER SEED EXTRACT,,,Cicer,arietinum,inci_not_binomial,auto,Cicer arietinum,INCI is a trivial or trade name; binomial taken from the description
56607,HYDROLYZED CUCUMBER FRUIT,,,Cucumis,melo,inci_not_binomial,auto,Cucumis melo,INCI is a trivial or trade name; binomial taken from the description
56654,HYDROGENATED MACADAMIA SEED OIL,,,Macadamia,integrifolia,inci_not_binomial,auto,Macadamia integrifolia,INCI is a trivial or trade name; binomial taken from the description
