ref_no,inci_name,inci_genus,inci_species,desc_genus,desc_species,pattern,resolution,resolved_to,resolution_note
32382,CANDELILLA CERA,,,Euphorbia,cerifera,inci_not_binomial,auto,Euphorbia cerifera,INCI is a trivial or trade name; binomial taken from the description
32489,CENTAURIUM ERYTHRAEA EXTRACT,Centaurium,erythraea,Erythraea,centaurium,genus_mismatch,gbif,Centaurium erythraea,Same taxon under two names; accepted name used. GBIF 2026-08-20: 'Centaurium erythraea' -> Centaurium erythraea [ACCEPTED/EXACT/98]; 'Erythraea centaurium' -> Centaurium erythraea [SYNONYM/EXACT/97]
33009,COLLOIDAL OATMEAL,Colloidal,oatmeal,Avena,sativa,genus_mismatch,gbif,Avena sativa,INCI name is not in the GBIF backbone; description name used. GBIF 2026-08-20: 'Colloidal oatmeal' -> no match [no_match:NONE/NONE/0]; 'Avena sativa' -> Avena sativa [ACCEPTED/EXACT/99]
33012,COLOPHONIUM,,,Pinus,palustris,inci_not_binomial,auto,Pinus palustris,INCI is a trivial or trade name; binomial taken from the description
33024,COPAL,,,Hymenaea,courbaril,inci_not_binomial,auto,Hymenaea courbaril,INCI is a trivial or trade name; binomial taken from the description
33447,DIMETHICONOL ILLIPE BUTTERATE,Dimethiconol,illipe,Bassia,latifolia,genus_mismatch,excluded,,EXCLUDED - neither name matched; GBIF cannot say which was intended. GBIF 2026-08-20: 'Dimethiconol illipe' -> no match [no_match:NONE/NONE/0]; 'Bassia latifolia' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
33980,GARDENIA TAITENSIS FLOWER,Gardenia,taitensis,Gardenia,tahitensis,spelling_variant,auto,Gardenia taitensis,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
33981,GARDENIA TAITENSIS FLOWER EXTRACT,Gardenia,taitensis,Gardenia,tahitensis,spelling_variant,auto,Gardenia taitensis,"One side is misspelled (edit distance <= 2); INCI form kept, pair logged for review"
34178,GUTTA PERCHA,Gutta,percha,Payena,and,genus_mismatch,excluded,,EXCLUDED - neither name matched; GBIF cannot say which was intended. GBIF 2026-08-20: 'Gutta percha' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]; 'Payena and' -> no match [rank:GENUS/EXACT/94]
38433,TABEBUIA BARK EXTRACT,,,Tabebuia,spp,genus_level_entry,auto,Tabebuia spp,"INCI names a genus rather than a species; genus kept, species left generic"
39318,CINNAMOMUM CAMPHORA FORMOSANA LEAF OIL RECTIFIED,Cinnamomum,camphora,Cinnamomum,tzumu,species_mismatch,gbif,Cinnamomum camphora,Description name is not in the GBIF backbone; INCI name used. GBIF 2026-08-20: 'Cinnamomum camphora' -> Cinnamomum camphora [ACCEPTED/EXACT/97]; 'Cinnamomum tzumu' -> no match [no_match:HIGHERRANK/HIGHERRANK/0]
39346,CISTUS SPECIES RESIN,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39347,CISTUS SPECIES RESIN EXTRACT,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39348,CISTUS SPECIES RESIN OIL,,,Cistus,spp,genus_level_entry,auto,Cistus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39380,COPAIFERA RETICULATA BALSAM OIL ACETYLATED,Copaifera,reticulata,Copaifera,officinalis,species_mismatch,excluded,,EXCLUDED - two distinct accepted species; GBIF cannot say which was intended. GBIF 2026-08-20: 'Copaifera reticulata' -> Copaifera copaibo [SYNONYM/EXACT/98]; 'Copaifera officinalis' -> Copaifera officinalis [ACCEPTED/EXACT/99]
39383,COPAIFERA SPECIES RESIN EXTRACTS,,,Copaifera,spp,genus_level_entry,auto,Copaifera spp,"INCI names a genus rather than a species; genus kept, species left generic"
39384,COPAIFERA SPECIES RESIN OILS,,,Copaifera,spp,genus_level_entry,auto,Copaifera spp,"INCI names a genus rather than a species; genus kept, species left generic"
39758,JUNIPERUS EXTRACT ACETYLATED,,,Juniperus,spp,genus_level_entry,auto,Juniperus spp,"INCI names a genus rather than a species; genus kept, species left generic"
39960,EUCALYPTUS SPECIES LEAF EXTRACT,,,Eucalyptus,spp,genus_level_entry,auto,Eucalyptus spp,"INCI names a genus rather than a species; genus kept, species left generic"
