raw,accepted,correction_type,source,note
Leguminosae,Fabaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Labiatae,Lamiaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Compositae,Asteraceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Umbelliferae,Apiaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Gramineae,Poaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Guttiferae,Clusiaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Palmae,Arecaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Cruciferae,Brassicaceae,nomenclature,APG IV,"Conserved alternative name (nom. alt.)"
Tiliaceae,Malvaceae,nomenclature,APG IV,"Sunk into expanded Malvaceae s.l."
Sterculiaceae,Malvaceae,nomenclature,APG IV,"Sunk into expanded Malvaceae s.l."
Bombacaceae,Malvaceae,nomenclature,APG IV,"Sunk into expanded Malvaceae s.l."
Agavaceae,Asparagaceae,nomenclature,APG IV,"Sunk into expanded Asparagaceae"
Ruscaceae,Asparagaceae,nomenclature,APG IV,"Sunk into expanded Asparagaceae"
Punicaceae,Lythraceae,nomenclature,APG IV,"Punica transferred to Lythraceae"
Chenopodiaceae,Amaranthaceae,nomenclature,APG IV,"Sunk into expanded Amaranthaceae"
Valerianaceae,Caprifoliaceae,nomenclature,APG IV,"Sunk into expanded Caprifoliaceae (Dipsacales)"
Dipsacaceae,Caprifoliaceae,nomenclature,APG IV,"Sunk into expanded Caprifoliaceae (Dipsacales)"
Hippocastanaceae,Sapindaceae,nomenclature,APG IV,"Aesculus transferred to Sapindaceae"
Aceraceae,Sapindaceae,nomenclature,APG IV,"Acer transferred to Sapindaceae"
Asclepiadaceae,Apocynaceae,nomenclature,APG IV,"Sunk into expanded Apocynaceae"
Taxodiaceae,Cupressaceae,nomenclature,APG IV,"Sunk into Cupressaceae s.l."
Illiciaceae,Schisandraceae,nomenclature,APG IV,"Illicium transferred to Schisandraceae"
Fumariaceae,Papaveraceae,nomenclature,APG IV,"Sunk into expanded Papaveraceae"
Myrsinaceae,Primulaceae,nomenclature,APG IV,"Sunk into expanded Primulaceae"
Samydaceae,Salicaceae,nomenclature,APG IV,"Sunk into expanded Salicaceae"
Flacourtiaceae,Salicaceae,nomenclature,APG IV,"Largely sunk into Salicaceae"
Capparidaceae,Capparaceae,nomenclature,APG IV,"Orthographic/nomenclatural variant of Capparaceae"
Cuscutaceae,Convolvulaceae,nomenclature,APG IV,"Cuscuta transferred to Convolvulaceae"
Hydrophyllaceae,Boraginaceae,nomenclature,APG IV,"Sunk into Boraginaceae s.l."
Julianiaceae,Anacardiaceae,nomenclature,APG IV,"Sunk into Anacardiaceae"
Pyrolaceae,Ericaceae,nomenclature,APG IV,"Sunk into expanded Ericaceae"
Xanthorrhoeaceae,Asphodelaceae,nomenclature,APG IV,"Asphodelaceae is the conserved name for Xanthorrhoeaceae s.l."
