refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
1,IV,"Sodium tris(1,2-naphthoquinone 1-oximato-O,O')ferrate(1-)","Sodium tris(1,2-naphthoquinone 1-oximato-O,O')ferrate(1-)",,,16143-80-9,240-299-7,,32694,,,Rinse-off product,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Green,N,2009-12-22T00:00:00.000+0100,1
2,IV,"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)","Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)",,,19381-50-1,243-010-2,,31615 | 32695 | 87706,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,Green,N,2009-12-22T00:00:00.000+0100,1
3,IV,"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments","Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,846-70-8,212-690-2,,31636 | 32696 | 91054,,,Not to be used in eye products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
4,IV,2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide,2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide,,,2512-29-0,219-730-8,,32697,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
5,IV,2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide,2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide,,,6486-23-3,229-355-1,,32698,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,Yellow,N,2009-12-22T00:00:00.000+0100,1
6,IV,2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide,2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide,,,6371-96-6,228-907-9,,32699,,,Rinse-off products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
7,IV,4-(Phenylazo)resorcinol,4-(Phenylazo)resorcinol,,,2051-85-6,218-131-9,,32700 | 38152 | 87707,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
8,IV,4-[(4-Ethoxyphenyl)azo]naphthol,4-[(4-Ethoxyphenyl)azo]naphthol,,,6535-42-8,229-439-8,,32701 | 38154 | 87708,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
9,IV,"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol and its insoluble barium, strontium and zirconium lakes, salts and pigments","1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,2814-77-9,220-562-2,,32702 | 87672 | 98574 | 87709,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
10,IV,1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,,,2425-85-6,219-372-2,,32703,,,Rinse-off products,,<empty> | <empty> | <empty> | <empty>,,[],,Red,N,2009-12-22T00:00:00.000+0100,1
