refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
1,V,Benzoic acid and its sodium salt,,,,65-85-0 / 532-32-1,200-618-2 / 208-534-8,,32134 | 37735,,,"a) 2.5% (acid)
b) 1.7% (acid)
c) 0.5% (acid)","a) Rinse-off products, except oral care products
b) Oral care products
c) Leave-on products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
1a,V,Salts of benzoic acid other than that listed under reference number 1 and esters of benzoic acid,,,,1863-63-4 /2090-05-3 / 582-25-2 / 553-70-8 / 4337-66-0 / 93-58-3 / 93-89-0 / 2315-68-6 / 136-60-7 / 120-50-3 / 939-48-0 / 93-99-2,217-468-9 / 218-235-4 / 209-481-3 / 209-045-2 / 224-387-2 / 202-259-7 / 202-284-3 / 219-020-8 / 205-252-7 / 204-401-3 / 213-361-6 / 202-293-2,,31706 | 31845 | 32313 | 33810 | 34602 | 34684 | 35084 | 35180 | 35279 | 36525 | 36934 | 37266,,,0.5% (acid),,,,[],,,N,2009-12-22T00:00:00.000+0100,1
2,V,Propionic acid and its salts,,,,79-09-4 / 17496-08-1 / 4075-81-4 / 557-27-7 / 327-62-8 / 137-40-6,201-176-3 / 241-503-7 / 223-795-8 / 209-166-0 / 206-323-5 / 205-290-4,,31896 | 32341 | 35116 | 37018 | 37261 | 38042,,,2% (acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
3,V,Salicylic acid and its salts,Salicylic acid and its salts,,,69-72-7[1]/ 824-35-1[2]/ 18917-89-0[3]/ 59866-70-5[4]/ 54-21-7[5]/ 578-36-9[6]/ 2174-16-5[7],200-712-3[1]/ 212-525-4[2]/ 242-669-3[3]/ 261-963-2[4]/ 200-198-0[5]/ 209-421-6[6]/ 218-531-3[7],,29470 | 32344 | 35117 | 35191 | 37022 | 37595 | 38052 | 38532,,,"Salicylic acid: 0,5 % (acid)

Salicylic acid salts: 0,5 % (acid)",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,,N,2019-12-13T00:00:00.000+0100,1
4,V,"Hexa-2,4-dienoic acid and its salts",,,,110-44-1 / 7492-55-9 / 7757-81-5 / 24634-61-5,203-768-7 / 231-321-6 / 231-819-3 / 246-376-1,,32346 | 37025 | 38059 | 38173 | 38533,,,0.6% (acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
6,V,Moved or deleted,,,,,,,,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
7,V,"Biphenyl-2-ol; 2-phenylphenol; 2-hydroxybiphenyl, Sodium 2-biphenylate",Biphenyl-2-ol,,,"90-43-7, 132-27-4","201-993-5, 205-055-6",,35733 | 38006 | 35179 | 37007,,,"(a) 0,2 % (as phenol

(b) 0,15 % (as phenol)","(a) Rinse-off products

(b) Leave-on products",,,[],,,N,2026-01-13T00:00:00.000+0100,1
9,V,Inorganic sulphites and hydrogensulphites (5),,,,7757-83-7 / 10192-30-0 / 10196-04-0 / 10117-38-1 / 7773-03-7 / 7631-90-5 / 7681-57-4 / 16731-55-8,231-821-4 / 233-469-7 / 233-484-9 / 233-321-1 / 231-870-1 /231-548-0 / 231-673-0 / 240-795-3,,29471 | 31847 | 31900 | 36994 | 37031 | 37740 | 37956 | 38095,,,0.2% (as free SO2),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],"V (5) For use other than as a preservative, see Annex III, No. 99",,N,2009-12-22T00:00:00.000+0100,1
10,V,Moved or deleted,,,,,,,,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
11,V,Chlorobutanol,"1,1,1-Trichloro-2-methyl-2-propanol",Chlorobutanol,,57-15-8,200-317-6,,32662,,,0.5%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
