refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
2,VI,"N,N,N-Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulphate",,,,52793-97-2,258-190-8,,32378,,,6%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
3,VI,"Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate","Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate",Homosalate,,118-56-9,204-260-8,,34299,,,"7,34 %",Face products with the exception of propellent spray products,<empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
4,VI,2-Hydroxy-4-methoxybenzophenone / Oxybenzone,2-Hydroxy-4-methoxybenzophenone / Oxybenzone,Oxybenzone,,131-57-7,205-031-5,,32142,,,"a) 6%
b) 2,2%
c) 0,5%

Footnote 1: However, cosmetic products containing '2-Hydroxy-4-methoxy-benzophenone/Oxybenzone' and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023.","a) Face products, hand products, and lip products, excluding propellant and pump spray products
b) Body products, including propellant and pump spray products
c) Other products",,,[],,,N,2022-07-08T00:00:00.000+0200,1
5,VI,Moved or deleted,,,,,,,,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight",,[],,,N,2009-12-22T00:00:00.000+0100,1
6,VI,"2-Phenylbenzimidazole-5-sulphonic acid and its potassium, sodium and triethanolamine salts / Ensulizole",,Ensulizole (INN),,27503-81-7,248-502-0,,36535 | 37015 | 38029 | 38529,,,8%(as acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
7,VI,"3,3'-(1,4-Phenylenedimethylene) bis (7,7-dimethyl-2-oxobicyclo-[2.2.1] hept-1-ylmethanesulfonic acid) and its salts / Ecamsule",,Ecamsule,,92761-26-7 / 90457-82-2,410-960-6 / -,,38544,,,10%(as acid),,<empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
8,VI,"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl) propane-1,3-dione / Avobenzone",,avobenzone,,70356-09-1,274-581-6,,31713,,,5%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
9,VI,alpha-(2-Oxoborn-3-ylidene)toluene-4-sulphonic acid and its salts,,,,56039-58-8,-,,32162,,,6%(as acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
10,VI,"2-Cyano-3,3-diphenyl acrylic acid 2-ethylhexyl ester / Octocrilene","2-Cyano-3,3-diphenyl acrylic acid 2-ethylhexyl ester / Octocrylene",Octocrilene; Octocrylene (USAN),,6197-30-4,228-250-8,,35585,,,"a) 9%
b) 10%

Footnote (*3): Benzophenone as an impurity and/or degradation product of Octocrylene shall be kept at trace level.","a) Propellant spray products
b) Other products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2022-07-08T00:00:00.000+0200,1
11,VI,Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidene)methyl]benzyl}acrylamide,,,,113783-61-2,-,,36688,,,6%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
12,VI,2-Ethylhexyl 4-methoxycinnamate / Octinoxate,Ethylhexyl Methoxycinnamate is the ester of 2-ethylhexyl alcohol and methoxycinnamic acid.,octinoxate,,5466-77-3,226-775-7,,33886,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
13,VI,Ethoxylated Ethyl-4-Aminobenzoate,,,,116242-27-4,-,,78130,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
14,VI,Isopentyl-4-methoxycinnamate / Amiloxate,,amiloxate,,71617-10-2,275-702-5,,34598,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
15,VI,"2,4,6-Trianilino-(p-carbo-2'-ethylhexyl-1'-oxy)-1,3,5-triazine",,,,88122-99-0,402-070-1,,33895,,,5%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
16,VI,"Phenol, 2-(2H-Benzotriazol-2-yl)-4-Methyl-6-(2-Methyl-3-(1,3,3,3-Tetramethyl-1-(Trimethylsilyl)Oxy)-Disiloxanyl)Propyl",,,,155633-54-8,-,,33742,,,15%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
17,VI,"Benzoic acid, 4,4-{[6-[[[(1,1-dimethylethyl)amino]carbonyl]phenyl]amino]-1,3-5-triazine-2,4-diyl]diimino}bis-, bis(2-ethylhexyl)ester / Iscotrizinol",,Iscotrizinol (USAN),,154702-15-5,-,,33301,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
20,VI,2-Ethylhexyl salicylate / Octisalate),,octisalate,,118-60-5,204-263-4,,33893,,,5%,,<empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
21,VI,2-Ethylhexyl 4-(dimethylamino)benzoate / Padimate O (USAN:BAN),,Padimate O (USAN:BAN),,21245-02-3,244-289-3,,33875,,,8%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
22,VI,2-Hydroxy-4-methoxybenzophenone-5-sulfonic acid (Benzophenone-5) and its sodium salt / Sulisobenzone,,Sulisobenzone,,4065-45-6 / 6628-37-1,223-772-2 / -,,32143 | 32144,,,5%(as acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
23,VI,"2,2'-Methylene bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol) / Bisoctrizole","2,2'-Methylene bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol) / Bisoctrizole",bisoctrizole,,103597-45-1,403-800-1,,38987,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty>",,[],,,N,2018-06-21T00:00:00.000+0200,1
23a,VI,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),"2,2′-Methylene-bis(6-(2H-benzotriazol-2-yl)-4- (1,1,3,3-tetramethylbutyl)phenol)/Bisoctrizole
Methylene Bis- Benzotriazolyl Tetramethylbutylphenol (nano)",,,103597-45-1,403-800-1,,,UV FILTER,,"10 %(*)

(*) In case of combined use of Methylene Bis-Benzotriazolyl Tetramethylbutylphenol and Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano), the sum shall not exceed the limit given in column g.’.",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2018-06-21T00:00:00.000+0200,1
24,VI,"Sodium salt of 2,2'-bis(1,4-phenylene)-1H-benzimidazole-4,6-disulfonic acid / Bisdisulizole disodium (USAN)",,bisdisulizole disodium (USAN),,180898-37-7,429-750-0,,75792,,,10%(as acid),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
25,VI,"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol) / Bemotrizinol",,Bemotrizinol [USAN],,187393-00-6,,,74502,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
26,VI,Dimethicodiethylbenzalmalonate,,,,207574-74-1,426-000-4,,41309,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
27,VI,Titanium Dioxide,Titanium Dioxide,Titanium dioxide [1];Anatase (TiO2) [2];Rutile (TiO2) [3],,13463-67-7[1]/ 1317-70-0[2]/ 1317-80-2[3],236-675-5[1] /215-280-1[2]/215-282-2 [ 3],,,UV FILTER,,"25%*
*: In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit given in column g (Maximum concen­tration in ready for use preparation)",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
27a,VI,Titanium dioxide (nano),Titanium dioxide [1];Anatase (TiO2) [2];Rutile (TiO2) [3],,,13463-67-7[1]/ 1317-70-0[2]/ 1317-80-2[3],236-675-5[1] /215-280-1[2]/ 215-282-2[3],,,UV FILTER,,"25%
- In case of combined use of Titanium Dioxide and Titanium Dioxide (nano), the sum shall not exceed the limit of 25%.",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],"VI (2) For use as a colorant, see Annex IV, No. 143",,N,2019-11-07T00:00:00.000+0100,1
28,VI,"Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, hexylester",,,,302776-68-7,443-860-6,,38990,,,10%,,,,[],,,N,2026-04-28T00:00:00.000+0200,1
29,VI,"1,3,5-Triazine, 2,4,6-tris(1,1'-biphenyl)-4-yl-, including as nanomaterial","1,3,5-Triazine, 2,4,6-tris(1,1'-biphenyl)-4-yl-",,,31274-51-8,,,,,,10%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2014-08-09T00:00:00.000+0200,1
30,VI,Zinc oxide,,,,1314-13-2,215-222-5,,38968,UV FILTER,,"- 25%

- In case of combined use of zinc oxide and zinc oxide (nano), the sum shall not exceed the limit of 25%",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2016-04-22T00:00:00.000+0200,1
30a,VI,Zinc oxide (nano),Zinc oxide (nano),,,1314-13-2,215-222-5,,,UV FILTER,,"25%

- In case of combined use of zinc oxide and zinc oxide (nano), the sum shall not exceed the limit of 25%",,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2016-04-22T00:00:00.000+0200,1
