substanceId,inciName,innName,phEurName,casNo,ecNo,chemicalDescription,chemicalName,functionName,status,cosmeticRestriction,otherRestrictions,otherRegulations,relatedRegulations,maximumConcentration,productTypeBodyParts,wordingOfConditions,sccsOpinion,note,perfuming,annexNo,officialJournalPublication,currentVersion
60000,VACCINIUM ANGUSTIFOLIUM SEED,,,-,-,"Vaccinium Angustifolium Seed is the seeds obtained from the Blueberry, Vaccinium angustifolium, Ericaceae",,ABRASIVE,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60001,VACCINIUM CORYMBOSUM FRUIT,,,-,-,"Vaccinium Corymbosum (Blueberry) Fruit is the fruit of the Blueberry, Vaccinium corymbosum L., Ericaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60002,VACCINIUM MACROCARPON FRUIT,,,91770-88-6,294-875-8,"Vaccinium Macrocarpon Fruit is the fruit of the Cranberry, Vaccinium macrocarpon, Ericaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60003,VACCINIUM MACROCARPON FRUIT EXTRACT,,,91770-88-6,294-875-8,"Vaccinium Macrocarpon Extract is an extract of the fruit of the Cranberry, Vaccinium macrocarpon, Ericaceae",,ASTRINGENT,Active,,,,,,,,,,N,,Y,1
60004,VACCINIUM MACROCARPON FRUIT JUICE,,,91770-88-6,294-875-8,"Vaccinium Macrocarpon Fruit Juice is the juice expressed from the fruit of the Cranberry, Vaccinium macrocarpon, Ericaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60005,VACCINIUM MACROCARPON SEED,,,91770-88-6,294-875-8,"Vaccinium Macrocarpon Seed is the seed obtained from the Cranberry, Vaccinium macrocarpon, Ericaceae",,ABRASIVE,Active,,,,,,,,,,N,,Y,1
60006,VACCINIUM MACROCARPON SEED OIL,,,91770-88-6,294-875-8,"Vaccinium Macrocarpon Seed Oil is the fixed oil expressed from the seeds of the Cranberry, Vaccinium macrocarpon, Ericaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60007,SYRINGA OBLATA BARK/LEAF POWDER,,,,,"Syringa Oblata Bark/Leaf Powder is the powder obtained from the dried, ground bark and leaves of the Syringa oblata, Oleaceae",,ABRASIVE | HUMECTANT | FRAGRANCE | SKIN CONDITIONING | SKIN PROTECTING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60008,SYZYGIUM JAMBOS LEAF EXTRACT,,,97766-45-5,307-907-3,"Syzygium Jambos Leaf Extract is an extract of the leaves of the Syzygium jambos, Myrtaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60009,SYZYGIUM LUEHMANNII FRUIT EXTRACT,,,,,"Syzygium Leuhmannii Fruit Extract is an extract of the fruit of the Syzygium leuhmanii, Myrteceae.",,ANTIOXIDANT | HAIR CONDITIONING | HUMECTANT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
