raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Abies alba,Abies alba,2685484,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies balsamea,Abies balsamea,2685383,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies pectinata,,,Abies,Pinaceae,Pinales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Abies sibirica,Abies sibirica,2685654,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abrus precatorius,Abrus precatorius,5348711,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acacia arabica,Vachellia nilotica,3974744,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acacia catechu,,,Acacia,Fabaceae,Fabales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Acacia concinna,,,Acacia,Fabaceae,Fabales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Acacia dealbata,Acacia dealbata,2979474,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acacia decurrens,Acacia decurrens,2979778,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acacia farnesiana,Vachellia farnesiana,2979265,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,97,True,,2026-08-20
Acacia mearnsii,Acacia mearnsii,2979775,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Acacia senegal,Senegalia senegal,3977346,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acacia victoriae,Acacia victoriae,2979105,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acanthopanax senticosus,Eleutherococcus senticosus,3035369,Eleutherococcus,Araliaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acanthus mollis,Acanthus mollis,5415455,Acanthus,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acer campestre,Acer campestre,3189863,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acer saccharum,Acer saccharum,3189859,Acer,Sapindaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Achillea millefolium,Achillea millefolium,3120060,Achillea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Achras sapota,Manilkara zapota,2885158,Manilkara,Sapotaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Achyrocline satureioides,Achyrocline satureioides,3139534,Achyrocline,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acorus calamus,Acorus calamus,2873769,Acorus,Acoraceae,Acorales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acorus gramineus,Acorus gramineus,2873807,Acorus,Acoraceae,Acorales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
