raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Abeliophyllum distichum,Abeliophyllum distichum,7326165,Abeliophyllum,Oleaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abelmoschus esculentus,Abelmoschus esculentus,3152707,Abelmoschus,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abelmoschus manihot,Abelmoschus manihot,3152706,Abelmoschus,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies alba,Abies alba,2685484,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies balsamea,Abies balsamea,2685383,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies grandis,Abies grandis,2685361,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies holophylla,Abies holophylla,2685542,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies homolepis,Abies homolepis,2685663,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies koreana,Abies koreana,2685681,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abies pectinata,,,Abies,Pinaceae,Pinales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Abies sachalinensis,Abies sachalinensis,2685437,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies sibirica,Abies sibirica,2685654,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies spectabilis,Abies spectabilis,2685619,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abies veitchii,Abies veitchii,2685400,Abies,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abronia villosa,Abronia villosa,5384880,Abronia,Nyctaginaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Abrus fruticulosus,Abrus fruticulosus,5348700,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Abrus precatorius,Abrus precatorius,5348711,Abrus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acacia arabica,Vachellia nilotica,3974744,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acacia catechu,,,Acacia,Fabaceae,Fabales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Acacia concinna,,,Acacia,Fabaceae,Fabales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Acacia dealbata,Acacia dealbata,2979474,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acacia decurrens,Acacia decurrens,2979778,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acacia farnesiana,Vachellia farnesiana,2979265,Vachellia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,97,True,,2026-08-20
Acacia macrostachya,Senegalia macrostachya,7936172,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,97,True,,2026-08-20
Acacia mearnsii,Acacia mearnsii,2979775,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Acacia melanoxylon,Acacia melanoxylon,2979000,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acacia saligna,Acacia saligna,2978552,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acacia senegal,Senegalia senegal,3977346,Senegalia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acacia seyal,,,Acacia,Fabaceae,Fabales,,,Plantae,,HIGHERRANK,0,False,no_match:HIGHERRANK|genus_fallback,2026-08-20
Acacia victoriae,Acacia victoriae,2979105,Acacia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acalypha reptans,Acalypha chamaedrifolia,8339104,Acalypha,Euphorbiaceae,Malpighiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Acanthopanax koreanum,Eleutherococcus divaricatus,3035440,Eleutherococcus,Araliaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,FUZZY,96,True,,2026-08-20
